Village Name,Land Size (Acres),Crops,Machines Available,Labor Issues,Tech Gaps,Suggested Machines,Recommended Training Focus
Buxar,503,"Paddy, Chana",Tractor,No major labor issues,"No seed drill, Manual sowing",Weeder,"Repair & maintenance, Bookkeeping"
Buxar,2837,"Vegetables, Sugarcane, Chana","Sprayer, Harvester",No major labor issues,Manual weeding,"Paddy transplanter, Sprayer",Custom hiring
Khurda,2149,"Millets, Wheat, Chana","Harvester, Sprayer",Labor migration,"Manual weeding, No harvester, No weeder","Paddy transplanter, Sprayer","Repair & maintenance, Machine handling"
Chandipur,2915,"Paddy, Sugarcane, Wheat","Tractor, Manual Tools",Harvest labor shortage,"No harvester, No seed drill, No weeder","Seed drill, Paddy transplanter",Machine handling
Pipra,2609,"Chana, Wheat, Sugarcane",Sprayer,No major labor issues,"Manual weeding, No seed drill, No weeder",Sprayer,Bookkeeping
Khurda,591,"Vegetables, Paddy, Maize","Sprayer, Tractor",Labor migration,"Manual weeding, No paddy planter, No seed drill","Nursery bed, Paddy transplanter",Custom hiring
Agariya,1596,"Wheat, Paddy","Manual Tools, Harvester",No major labor issues,"No paddy planter, No harvester",Sprayer,"Bookkeeping, Repair & maintenance"
Malda,1459,"Paddy, Wheat, Vegetables",Sprayer,Need skilled labor,"No paddy planter, No weeder, Manual weeding","Nursery bed, Seed drill",Machine handling
Sonpur,2106,"Maize, Mung",Sprayer,No major labor issues,"No seed drill, Manual sowing, Manual weeding",Seed drill,Machine handling
Rajpur,1158,"Sugarcane, Paddy, Millets","Harvester, None",No major labor issues,Manual weeding,"Harvester, Weeder",Bookkeeping
Malda,740,"Chana, Vegetables, Sugarcane","None, Harvester, Tractor",Need skilled labor,"No seed drill, No weeder",Weeder,Repair & maintenance
Agariya,2530,"Sugarcane, Paddy, Wheat","Manual Tools, Harvester",Harvest labor shortage,"No paddy planter, No seed drill",Weeder,"Custom hiring, Machine handling"
Rajpur,2718,"Vegetables, Chana","None, Sprayer",Harvest labor shortage,No seed drill,Seed drill,"Bookkeeping, Repair & maintenance"
Agariya,2735,"Wheat, Mung, Maize, Paddy",Tractor,Need skilled labor,"No paddy planter, Manual weeding",Nursery bed,"Repair & maintenance, Custom hiring"
Rajpur,2199,"Millets, Sugarcane, Paddy","None, Tractor",Labor migration,"Manual sowing, No weeder, No seed drill","Seed drill, Nursery bed",Bookkeeping
Kundesar,2282,"Maize, Vegetables, Sugarcane, Paddy",None,No major labor issues,No weeder,"Weeder, Paddy transplanter","Repair & maintenance, Bookkeeping"
Malda,1040,"Paddy, Millets, Chana","Sprayer, Harvester",No major labor issues,"Manual sowing, No seed drill, Manual weeding","Sprayer, Weeder",Custom hiring
Rajpur,645,"Maize, Wheat",None,Labor migration,"Manual sowing, No seed drill, No weeder","Seed drill, Paddy transplanter","Bookkeeping, Nursery setup"
Pipra,2311,"Mung, Sugarcane",Tractor,Harvest labor shortage,"No seed drill, No weeder, Manual weeding","Seed drill, Harvester","Bookkeeping, Nursery setup"
Rajpur,2328,"Wheat, Sugarcane, Chana, Vegetables","Manual Tools, Sprayer",Labor migration,Manual sowing,Paddy transplanter,Repair & maintenance
Khurda,1504,"Wheat, Sugarcane","Tractor, Harvester",Need skilled labor,"No harvester, Manual sowing",Harvester,"Custom hiring, Nursery setup"
Sonpur,871,"Millets, Wheat, Paddy, Maize","Harvester, None",None,"Manual weeding, Manual sowing, No harvester",Nursery bed,"Machine handling, Nursery setup"
Khurda,2507,"Wheat, Maize, Vegetables","None, Sprayer",Labor migration,"Manual weeding, Manual sowing, No paddy planter",Paddy transplanter,Custom hiring
Khurda,2396,"Chana, Paddy, Vegetables","Tractor, Sprayer, Manual Tools",Harvest labor shortage,"No weeder, Manual sowing",Seed drill,"Bookkeeping, Nursery setup"
Agariya,1423,"Sugarcane, Paddy, Millets",None,Need skilled labor,"Manual weeding, No paddy planter","Paddy transplanter, Sprayer","Repair & maintenance, Custom hiring"
Khurda,1536,"Mung, Paddy","Harvester, Manual Tools, Tractor",Harvest labor shortage,No seed drill,"Nursery bed, Paddy transplanter",Nursery setup
Kundesar,2756,"Wheat, Mung, Maize, Millets",Harvester,No major labor issues,No weeder,Harvester,Nursery setup
Chandipur,887,"Paddy, Maize, Wheat","None, Sprayer, Tractor",No major labor issues,"No paddy planter, No weeder, Manual sowing",Paddy transplanter,"Bookkeeping, Nursery setup"
Malda,1531,"Millets, Mung, Sugarcane",Tractor,No major labor issues,"Manual sowing, No paddy planter",Seed drill,"Machine handling, Nursery setup"
Rajpur,1564,"Paddy, Maize","Harvester, Manual Tools, None",Need skilled labor,No seed drill,"Seed drill, Weeder",Custom hiring
Rajpur,741,"Millets, Chana, Wheat","None, Harvester, Sprayer",Labor migration,"No seed drill, Manual weeding, No weeder",Seed drill,Machine handling
Rajpur,1043,"Sugarcane, Millets, Paddy, Mung","Sprayer, Harvester",Harvest labor shortage,Manual sowing,"Seed drill, Harvester",Repair & maintenance
Sonpur,2554,"Maize, Sugarcane, Vegetables","Harvester, None",None,"No paddy planter, Manual sowing",Seed drill,Bookkeeping
Agariya,2451,"Mung, Paddy",Tractor,No major labor issues,"Manual weeding, No harvester","Weeder, Harvester","Bookkeeping, Machine handling"
Buxar,1007,"Paddy, Mung, Chana, Sugarcane",Manual Tools,None,No harvester,"Weeder, Sprayer",Custom hiring
Dhanwar,536,"Mung, Millets","Manual Tools, Harvester, None",Harvest labor shortage,"Manual sowing, Manual weeding, No harvester","Paddy transplanter, Weeder",Machine handling
Agariya,2977,"Millets, Sugarcane","Tractor, Sprayer",Labor migration,"No weeder, No seed drill, Manual sowing",Paddy transplanter,Nursery setup
Rajpur,1742,"Vegetables, Sugarcane, Millets, Paddy","None, Manual Tools",No major labor issues,"No paddy planter, Manual sowing",Weeder,Nursery setup
Rajpur,2545,"Millets, Chana, Wheat","Sprayer, Harvester, None",Need skilled labor,No seed drill,Weeder,"Nursery setup, Bookkeeping"
Chandipur,633,"Chana, Paddy, Mung, Millets","Manual Tools, Sprayer, Harvester",Need skilled labor,"Manual sowing, No paddy planter, No harvester",Sprayer,Bookkeeping
Chandipur,2431,"Maize, Wheat",Tractor,No major labor issues,Manual weeding,Seed drill,Repair & maintenance
Rajpur,2123,"Mung, Maize, Chana, Vegetables","Sprayer, Tractor",Need skilled labor,No weeder,Sprayer,"Custom hiring, Machine handling"
Agariya,1329,"Chana, Sugarcane, Wheat, Maize","None, Sprayer, Harvester",Need skilled labor,"No seed drill, Manual weeding","Nursery bed, Sprayer",Nursery setup
Sonpur,1172,"Maize, Vegetables",Tractor,Labor migration,"Manual sowing, Manual weeding",Seed drill,Machine handling
Malda,2419,"Wheat, Vegetables, Millets",Sprayer,None,Manual weeding,Seed drill,"Machine handling, Bookkeeping"
Khurda,1528,"Millets, Mung, Sugarcane","None, Sprayer",Harvest labor shortage,Manual weeding,"Seed drill, Weeder","Repair & maintenance, Nursery setup"
Dhanwar,733,"Paddy, Mung","None, Tractor",None,Manual weeding,Seed drill,"Nursery setup, Custom hiring"
Rajpur,2971,"Maize, Vegetables, Mung","Tractor, Harvester, Sprayer",Labor migration,Manual weeding,"Weeder, Seed drill","Custom hiring, Repair & maintenance"
Pipra,2169,"Chana, Sugarcane, Paddy, Wheat","Tractor, Sprayer, Harvester",None,No harvester,"Harvester, Weeder","Custom hiring, Nursery setup"
Buxar,1606,"Mung, Wheat, Millets, Sugarcane","Tractor, Harvester, None",Labor migration,Manual sowing,"Paddy transplanter, Nursery bed",Repair & maintenance
Kundesar,774,"Chana, Millets","None, Sprayer, Manual Tools",Need skilled labor,"No seed drill, Manual weeding",Paddy transplanter,Machine handling
Chandipur,2708,"Mung, Wheat","Tractor, Manual Tools",No major labor issues,"No seed drill, No paddy planter, No weeder","Seed drill, Paddy transplanter","Nursery setup, Machine handling"
Agariya,2341,"Millets, Wheat, Vegetables",None,Need skilled labor,"No seed drill, Manual sowing, No paddy planter",Sprayer,Machine handling
Rajpur,1229,"Wheat, Paddy, Chana",Sprayer,Need skilled labor,"No paddy planter, No seed drill","Weeder, Paddy transplanter","Repair & maintenance, Machine handling"
Malda,2239,"Sugarcane, Wheat, Maize, Millets","Sprayer, None, Manual Tools",Need skilled labor,"No harvester, Manual sowing",Weeder,Repair & maintenance
Chandipur,2778,"Sugarcane, Wheat","Tractor, Manual Tools",Labor migration,No harvester,"Seed drill, Nursery bed","Machine handling, Bookkeeping"
Rajpur,2737,"Millets, Mung","Harvester, Tractor",No major labor issues,No weeder,"Seed drill, Sprayer",Nursery setup
Kundesar,1183,"Vegetables, Paddy","Manual Tools, Tractor",Labor migration,"No seed drill, No paddy planter",Weeder,"Repair & maintenance, Nursery setup"
Malda,2444,"Vegetables, Wheat, Maize","Tractor, Harvester",None,No seed drill,"Seed drill, Paddy transplanter",Machine handling
Agariya,1723,"Wheat, Sugarcane","None, Sprayer",No major labor issues,No paddy planter,Weeder,Machine handling
Buxar,785,"Sugarcane, Vegetables",Sprayer,Need skilled labor,"No paddy planter, Manual sowing, No weeder","Nursery bed, Sprayer",Bookkeeping
Pipra,1826,"Paddy, Vegetables, Chana, Millets",Tractor,Need skilled labor,"No seed drill, No weeder, Manual weeding","Seed drill, Harvester",Repair & maintenance
Khurda,1300,"Paddy, Vegetables",Harvester,Labor migration,No harvester,"Sprayer, Paddy transplanter","Nursery setup, Custom hiring"
Buxar,576,"Chana, Wheat","Sprayer, Harvester",No major labor issues,"No paddy planter, Manual weeding","Sprayer, Harvester",Repair & maintenance
Khurda,2403,"Vegetables, Paddy",Tractor,None,No seed drill,"Nursery bed, Weeder","Custom hiring, Machine handling"
Malda,1036,"Chana, Millets","None, Sprayer",None,"No harvester, Manual weeding","Weeder, Paddy transplanter",Machine handling
Chandipur,2642,"Wheat, Vegetables, Sugarcane","None, Harvester",Need skilled labor,No harvester,"Sprayer, Seed drill",Custom hiring
Kundesar,1253,"Wheat, Paddy","Tractor, Manual Tools",No major labor issues,"No seed drill, No paddy planter, Manual weeding",Seed drill,Nursery setup
Chandipur,1371,"Maize, Chana, Sugarcane, Paddy","Manual Tools, None, Sprayer",Need skilled labor,No weeder,"Nursery bed, Paddy transplanter",Repair & maintenance
Dhanwar,960,"Wheat, Paddy, Sugarcane",Sprayer,No major labor issues,"No harvester, Manual weeding, No paddy planter",Harvester,"Repair & maintenance, Bookkeeping"
Kundesar,1581,"Millets, Paddy, Wheat","None, Manual Tools, Sprayer",Labor migration,"Manual weeding, No weeder",Harvester,"Bookkeeping, Machine handling"
Pipra,549,"Chana, Millets, Mung","Manual Tools, Sprayer, Harvester",No major labor issues,Manual sowing,"Sprayer, Paddy transplanter",Machine handling
Sonpur,1149,"Vegetables, Paddy, Wheat, Maize","Harvester, Sprayer, Tractor",Harvest labor shortage,"Manual sowing, No harvester, No seed drill",Nursery bed,Custom hiring
Rajpur,515,"Vegetables, Wheat, Chana, Millets",Tractor,Harvest labor shortage,"No harvester, No weeder","Paddy transplanter, Sprayer",Machine handling
Rajpur,2127,"Chana, Mung","Manual Tools, None",Labor migration,"Manual sowing, No paddy planter",Nursery bed,Repair & maintenance
Buxar,2075,"Wheat, Mung","Sprayer, Manual Tools",Labor migration,Manual weeding,Harvester,"Bookkeeping, Nursery setup"
Kundesar,1736,"Vegetables, Maize, Paddy, Sugarcane","Manual Tools, None",None,Manual sowing,"Paddy transplanter, Weeder","Bookkeeping, Nursery setup"
Khurda,2013,"Mung, Paddy, Maize, Sugarcane","Manual Tools, Sprayer, Tractor",Need skilled labor,Manual weeding,"Paddy transplanter, Nursery bed",Nursery setup
Kundesar,2308,"Maize, Paddy","Harvester, Manual Tools",Labor migration,"Manual weeding, No harvester, No paddy planter",Seed drill,Machine handling
Chandipur,2344,"Vegetables, Mung, Chana, Paddy","Harvester, Tractor, Manual Tools",Labor migration,No paddy planter,Sprayer,Machine handling
Kundesar,2403,"Millets, Mung",Tractor,Labor migration,"No weeder, No paddy planter",Paddy transplanter,Machine handling
Sonpur,2307,"Vegetables, Millets, Paddy, Wheat","None, Tractor, Manual Tools",Need skilled labor,"No seed drill, Manual sowing, Manual weeding","Weeder, Sprayer","Machine handling, Repair & maintenance"
Agariya,2672,"Paddy, Mung, Wheat, Vegetables","Tractor, Manual Tools",None,"No harvester, No paddy planter","Weeder, Sprayer","Bookkeeping, Nursery setup"
Pipra,1098,"Wheat, Maize",Sprayer,Labor migration,"No harvester, No seed drill",Seed drill,"Bookkeeping, Nursery setup"
Dhanwar,1633,"Chana, Wheat",None,None,"No seed drill, No paddy planter",Paddy transplanter,"Custom hiring, Nursery setup"
Buxar,2823,"Chana, Sugarcane, Wheat","Harvester, None, Manual Tools",None,"No paddy planter, Manual sowing, No weeder","Sprayer, Weeder","Custom hiring, Nursery setup"
Dhanwar,1772,"Wheat, Paddy","Manual Tools, None, Tractor",Labor migration,"Manual weeding, No harvester","Nursery bed, Weeder",Bookkeeping
Dhanwar,2896,"Vegetables, Millets, Paddy",Sprayer,Need skilled labor,No harvester,Paddy transplanter,"Bookkeeping, Machine handling"
Kundesar,2445,"Sugarcane, Chana","Manual Tools, None",No major labor issues,Manual sowing,"Weeder, Nursery bed","Bookkeeping, Repair & maintenance"
Malda,1440,"Paddy, Maize, Wheat",Tractor,None,"No paddy planter, No weeder, No harvester",Sprayer,Custom hiring
Malda,591,"Vegetables, Mung, Wheat, Maize",Tractor,Need skilled labor,No paddy planter,Harvester,"Bookkeeping, Machine handling"
Rajpur,2720,"Vegetables, Chana","Tractor, Manual Tools",No major labor issues,"No paddy planter, No seed drill, Manual sowing","Weeder, Sprayer",Custom hiring
Pipra,1927,"Maize, Millets, Vegetables",Tractor,None,Manual sowing,Weeder,"Machine handling, Custom hiring"
Buxar,1717,"Vegetables, Maize","Harvester, Tractor",None,"No paddy planter, No seed drill, Manual weeding",Paddy transplanter,Machine handling
Dhanwar,1588,"Chana, Paddy, Millets, Vegetables","Manual Tools, Sprayer, Tractor",Harvest labor shortage,"Manual sowing, No weeder, No harvester",Sprayer,Repair & maintenance
Malda,869,"Paddy, Vegetables, Sugarcane, Mung",Manual Tools,Labor migration,"No seed drill, No harvester","Seed drill, Sprayer","Machine handling, Bookkeeping"
Malda,1288,"Maize, Sugarcane, Vegetables","Harvester, None, Manual Tools",None,"No paddy planter, No harvester",Seed drill,Custom hiring
Pipra,1920,"Wheat, Mung",Sprayer,Labor migration,No harvester,Seed drill,Nursery setup
Buxar,976,"Sugarcane, Chana","Manual Tools, None",Labor migration,"No paddy planter, No harvester, Manual sowing","Sprayer, Seed drill",Machine handling
Malda,2264,"Sugarcane, Maize, Millets","Manual Tools, Harvester, Tractor",Labor migration,"Manual weeding, No paddy planter",Nursery bed,"Nursery setup, Machine handling"
Buxar,1445,"Vegetables, Wheat, Mung, Millets","Harvester, None",Need skilled labor,No paddy planter,"Sprayer, Seed drill","Bookkeeping, Nursery setup"
Buxar,2300,"Vegetables, Paddy, Mung","Sprayer, Manual Tools, Harvester",No major labor issues,"No seed drill, Manual sowing","Nursery bed, Sprayer","Repair & maintenance, Bookkeeping"
Rajpur,1563,"Vegetables, Mung","None, Harvester",No major labor issues,"No seed drill, No weeder, No harvester","Harvester, Paddy transplanter","Nursery setup, Custom hiring"
Chandipur,1373,"Chana, Maize, Mung","Sprayer, Tractor, Harvester",Labor migration,"Manual sowing, No weeder, Manual weeding","Weeder, Paddy transplanter","Bookkeeping, Machine handling"
Malda,2830,"Vegetables, Mung, Sugarcane, Paddy",Manual Tools,Need skilled labor,"No seed drill, Manual weeding, No weeder",Weeder,Repair & maintenance
Khurda,1317,"Vegetables, Maize, Chana, Wheat","Manual Tools, Sprayer, None",Labor migration,"No paddy planter, Manual weeding",Seed drill,Machine handling
Malda,2916,"Wheat, Mung",Manual Tools,None,"No harvester, Manual weeding","Sprayer, Paddy transplanter","Repair & maintenance, Nursery setup"
Dhanwar,1859,"Wheat, Sugarcane","Tractor, None, Manual Tools",Labor migration,"Manual weeding, No seed drill, No paddy planter",Seed drill,Nursery setup
Chandipur,944,"Sugarcane, Vegetables, Wheat, Maize","None, Sprayer, Tractor",None,"No weeder, No seed drill, No paddy planter",Harvester,"Machine handling, Repair & maintenance"
Buxar,1556,"Wheat, Paddy","Harvester, None, Manual Tools",Harvest labor shortage,"Manual weeding, No harvester","Sprayer, Weeder",Repair & maintenance
Chandipur,1489,"Mung, Sugarcane, Paddy, Wheat","Tractor, Manual Tools, Harvester",Need skilled labor,"Manual sowing, No seed drill",Sprayer,"Repair & maintenance, Nursery setup"
Buxar,2700,"Mung, Sugarcane, Paddy","Harvester, None, Tractor",Labor migration,Manual weeding,"Sprayer, Nursery bed",Custom hiring
Buxar,1257,"Vegetables, Chana, Sugarcane, Paddy",None,None,"Manual sowing, Manual weeding, No paddy planter","Harvester, Paddy transplanter","Custom hiring, Machine handling"
Agariya,1468,"Mung, Maize, Millets",Manual Tools,Harvest labor shortage,No harvester,Nursery bed,Repair & maintenance
Chandipur,542,"Millets, Mung","Manual Tools, Sprayer, None",Labor migration,"No weeder, Manual sowing, No harvester",Paddy transplanter,Custom hiring
Pipra,2092,"Chana, Maize","None, Sprayer",Labor migration,"No seed drill, Manual weeding, Manual sowing","Paddy transplanter, Nursery bed","Custom hiring, Nursery setup"
Dhanwar,2810,"Sugarcane, Maize","Manual Tools, Harvester, Sprayer",Need skilled labor,No paddy planter,Paddy transplanter,"Repair & maintenance, Nursery setup"
Sonpur,1677,"Sugarcane, Millets, Chana, Mung",Manual Tools,Need skilled labor,"Manual sowing, Manual weeding",Harvester,Repair & maintenance
Sonpur,2540,"Millets, Sugarcane, Mung, Chana",Sprayer,Labor migration,"Manual weeding, No paddy planter, No seed drill","Paddy transplanter, Harvester",Machine handling
Sonpur,1633,"Sugarcane, Wheat","Tractor, None, Sprayer",No major labor issues,"No weeder, No paddy planter","Paddy transplanter, Sprayer","Custom hiring, Machine handling"
Rajpur,2587,"Wheat, Mung, Chana",Harvester,Labor migration,"Manual sowing, No harvester, No seed drill","Nursery bed, Sprayer",Machine handling
Agariya,1752,"Sugarcane, Vegetables, Wheat, Chana","None, Manual Tools",No major labor issues,"No harvester, No weeder, Manual weeding","Nursery bed, Harvester",Machine handling
Chandipur,1892,"Maize, Sugarcane","Tractor, None",Need skilled labor,No harvester,"Nursery bed, Paddy transplanter",Custom hiring
Kundesar,1596,"Maize, Millets","Sprayer, Harvester, None",None,"Manual sowing, No harvester, No seed drill",Paddy transplanter,"Custom hiring, Nursery setup"
Rajpur,1804,"Wheat, Sugarcane",Sprayer,Need skilled labor,Manual weeding,Paddy transplanter,"Nursery setup, Repair & maintenance"
Sonpur,2375,"Wheat, Chana","Harvester, Sprayer",No major labor issues,"No harvester, No paddy planter, No weeder","Nursery bed, Weeder","Bookkeeping, Nursery setup"
Dhanwar,2937,"Sugarcane, Mung",Harvester,Labor migration,"Manual sowing, No seed drill","Harvester, Nursery bed",Custom hiring
Khurda,658,"Vegetables, Mung","Harvester, Tractor",Need skilled labor,"Manual weeding, Manual sowing",Nursery bed,"Nursery setup, Machine handling"
Pipra,1919,"Maize, Millets","Sprayer, Manual Tools",Labor migration,No harvester,Paddy transplanter,Machine handling
Chandipur,731,"Millets, Maize, Paddy",Manual Tools,None,"No paddy planter, No seed drill",Weeder,Repair & maintenance
Agariya,2046,"Millets, Maize, Sugarcane, Mung",None,No major labor issues,Manual sowing,"Harvester, Sprayer","Machine handling, Nursery setup"
Dhanwar,1322,"Sugarcane, Mung, Millets",None,Labor migration,No harvester,"Paddy transplanter, Harvester","Custom hiring, Machine handling"
Buxar,2675,"Chana, Sugarcane","None, Manual Tools, Tractor",No major labor issues,Manual sowing,Nursery bed,Repair & maintenance
Rajpur,1373,"Chana, Paddy","Tractor, Manual Tools",None,"Manual weeding, No paddy planter, Manual sowing",Weeder,Repair & maintenance
Buxar,855,"Maize, Sugarcane, Vegetables","Harvester, Manual Tools, None",Labor migration,"Manual sowing, No paddy planter","Nursery bed, Seed drill",Bookkeeping
Sonpur,1608,"Paddy, Millets, Chana, Sugarcane",None,None,Manual weeding,Nursery bed,"Custom hiring, Bookkeeping"
Khurda,1069,"Vegetables, Sugarcane, Mung","Tractor, None, Sprayer",Need skilled labor,"Manual sowing, No harvester",Seed drill,Nursery setup
Pipra,2548,"Paddy, Millets, Vegetables, Maize",Manual Tools,None,"Manual weeding, Manual sowing",Harvester,"Repair & maintenance, Bookkeeping"
Pipra,2543,"Vegetables, Wheat, Mung, Chana",Sprayer,Labor migration,No weeder,"Seed drill, Paddy transplanter",Nursery setup
Buxar,621,"Paddy, Millets, Wheat, Vegetables","Sprayer, Tractor, Harvester",Harvest labor shortage,No seed drill,"Harvester, Seed drill","Nursery setup, Repair & maintenance"
Malda,1392,"Maize, Mung","Sprayer, Manual Tools, None",Labor migration,"No seed drill, No harvester, Manual sowing",Nursery bed,Custom hiring
Pipra,1253,"Millets, Sugarcane, Chana","Harvester, Tractor, None",No major labor issues,"Manual sowing, No paddy planter, No harvester","Nursery bed, Weeder","Bookkeeping, Repair & maintenance"
Kundesar,2525,"Wheat, Chana, Sugarcane, Paddy",None,Need skilled labor,No paddy planter,"Harvester, Seed drill","Machine handling, Custom hiring"
Malda,2379,"Maize, Vegetables, Sugarcane, Mung","None, Manual Tools",Harvest labor shortage,"No weeder, No seed drill","Harvester, Sprayer",Repair & maintenance
Pipra,2458,"Chana, Maize","None, Manual Tools, Harvester",No major labor issues,"No seed drill, No paddy planter",Sprayer,"Repair & maintenance, Nursery setup"
Malda,589,"Wheat, Mung, Millets",Harvester,No major labor issues,"No paddy planter, No harvester, Manual weeding","Harvester, Sprayer","Nursery setup, Bookkeeping"
Rajpur,944,"Maize, Paddy, Vegetables, Sugarcane","Manual Tools, Tractor, None",Need skilled labor,No harvester,"Nursery bed, Sprayer","Machine handling, Repair & maintenance"
Kundesar,2559,"Sugarcane, Maize, Paddy, Mung","Harvester, Tractor, Manual Tools",Need skilled labor,"No harvester, Manual sowing",Harvester,Custom hiring
Rajpur,2382,"Millets, Vegetables, Maize","Sprayer, Harvester, Tractor",None,"No seed drill, Manual sowing, No paddy planter","Weeder, Paddy transplanter","Custom hiring, Nursery setup"
Chandipur,1997,"Vegetables, Wheat, Millets","Manual Tools, Harvester",None,"Manual sowing, No seed drill, No weeder","Harvester, Weeder","Custom hiring, Bookkeeping"
Buxar,2839,"Mung, Chana, Vegetables","Manual Tools, Sprayer",Labor migration,"No harvester, Manual weeding, No seed drill",Sprayer,Machine handling
Pipra,2761,"Vegetables, Maize, Mung","Manual Tools, Sprayer",Harvest labor shortage,No paddy planter,"Paddy transplanter, Sprayer",Nursery setup
Rajpur,1835,"Maize, Sugarcane, Vegetables","Manual Tools, Tractor",Harvest labor shortage,No harvester,Sprayer,Machine handling
Khurda,1674,"Millets, Wheat, Maize, Mung","Harvester, Manual Tools",Need skilled labor,No seed drill,"Harvester, Seed drill",Nursery setup
Agariya,951,"Paddy, Vegetables, Chana",Sprayer,Labor migration,"No seed drill, No weeder",Sprayer,Nursery setup
Kundesar,1086,"Maize, Paddy",Harvester,No major labor issues,No weeder,Sprayer,Bookkeeping
Malda,1287,"Paddy, Mung","Sprayer, Harvester",No major labor issues,"Manual sowing, No paddy planter, No harvester",Nursery bed,Nursery setup
Buxar,1843,"Millets, Vegetables",Harvester,None,"No harvester, Manual weeding, No seed drill",Paddy transplanter,"Custom hiring, Nursery setup"
Malda,1934,"Chana, Wheat","Tractor, Harvester",Need skilled labor,"No weeder, No seed drill",Nursery bed,"Custom hiring, Bookkeeping"
Malda,1263,"Maize, Millets, Sugarcane",Sprayer,Need skilled labor,"Manual weeding, No seed drill, No paddy planter","Weeder, Sprayer",Repair & maintenance
Kundesar,2359,"Maize, Chana, Vegetables, Paddy","Manual Tools, Sprayer, Tractor",Need skilled labor,"No seed drill, No weeder, No harvester","Harvester, Weeder",Repair & maintenance
Malda,2698,"Chana, Paddy, Wheat, Mung","Manual Tools, Harvester",Labor migration,"Manual weeding, No weeder","Harvester, Paddy transplanter","Machine handling, Bookkeeping"
Kundesar,1878,"Chana, Vegetables, Wheat, Millets","Sprayer, Manual Tools",No major labor issues,No paddy planter,"Paddy transplanter, Seed drill","Repair & maintenance, Nursery setup"
Rajpur,2110,"Wheat, Paddy, Vegetables, Sugarcane","Tractor, Manual Tools",None,"No paddy planter, No weeder",Seed drill,"Nursery setup, Bookkeeping"
Malda,514,"Paddy, Mung, Chana, Vegetables","None, Sprayer",No major labor issues,No paddy planter,Weeder,"Machine handling, Custom hiring"
Dhanwar,714,"Vegetables, Sugarcane, Maize",Tractor,Labor migration,"No paddy planter, Manual sowing","Sprayer, Weeder",Machine handling
Chandipur,700,"Mung, Millets, Sugarcane","Tractor, None, Manual Tools",Harvest labor shortage,"No seed drill, No weeder, Manual sowing","Harvester, Paddy transplanter","Custom hiring, Repair & maintenance"
Agariya,2432,"Sugarcane, Chana, Mung, Wheat","Manual Tools, None, Sprayer",No major labor issues,No weeder,Harvester,"Repair & maintenance, Nursery setup"
Malda,1297,"Paddy, Maize, Chana","None, Harvester",No major labor issues,"No seed drill, No weeder, Manual weeding","Weeder, Sprayer",Machine handling
Agariya,1833,"Millets, Maize, Sugarcane",None,Labor migration,Manual weeding,"Harvester, Weeder",Bookkeeping
Dhanwar,862,"Mung, Millets","Manual Tools, None, Sprayer",Labor migration,"Manual weeding, No paddy planter",Paddy transplanter,Custom hiring
Chandipur,2663,"Wheat, Mung, Chana","Harvester, None",None,"No paddy planter, No seed drill, No harvester","Harvester, Sprayer",Custom hiring
Dhanwar,1759,"Mung, Vegetables, Wheat, Chana","Harvester, None, Tractor",No major labor issues,Manual weeding,"Paddy transplanter, Seed drill",Bookkeeping
Agariya,1580,"Paddy, Mung",Tractor,None,"No seed drill, Manual sowing","Harvester, Paddy transplanter","Machine handling, Nursery setup"
Chandipur,2750,"Paddy, Wheat, Millets",Harvester,Need skilled labor,"No seed drill, No paddy planter","Harvester, Weeder",Nursery setup
Khurda,1933,"Chana, Millets, Paddy","None, Harvester, Manual Tools",Need skilled labor,Manual weeding,Sprayer,"Machine handling, Nursery setup"
Chandipur,2312,"Millets, Maize, Sugarcane, Paddy",None,No major labor issues,"Manual weeding, No paddy planter, No weeder",Sprayer,"Repair & maintenance, Machine handling"
Khurda,1238,"Sugarcane, Vegetables, Wheat","Harvester, Sprayer, Manual Tools",Need skilled labor,Manual weeding,"Nursery bed, Seed drill",Bookkeeping
Buxar,2375,"Sugarcane, Paddy, Maize, Vegetables","None, Tractor",No major labor issues,"No seed drill, Manual sowing","Seed drill, Weeder","Repair & maintenance, Custom hiring"
Khurda,1130,"Chana, Maize","Harvester, Tractor, Manual Tools",Need skilled labor,"Manual sowing, No harvester, No paddy planter",Weeder,"Custom hiring, Bookkeeping"
Rajpur,2744,"Mung, Chana",None,Harvest labor shortage,No weeder,Seed drill,"Bookkeeping, Machine handling"
Sonpur,719,"Mung, Vegetables","Harvester, None, Manual Tools",None,"Manual sowing, No harvester","Harvester, Seed drill",Custom hiring
Chandipur,2946,"Chana, Mung",None,No major labor issues,"No seed drill, Manual sowing",Harvester,Custom hiring
Pipra,2241,"Maize, Sugarcane, Mung","Tractor, Sprayer",Labor migration,"No paddy planter, No seed drill","Harvester, Seed drill","Nursery setup, Custom hiring"
Buxar,2290,"Maize, Chana, Wheat, Sugarcane","Sprayer, Harvester",Harvest labor shortage,"No seed drill, No harvester, Manual sowing",Sprayer,Machine handling
Pipra,2019,"Millets, Maize, Vegetables, Paddy","Tractor, Sprayer",No major labor issues,"Manual weeding, No weeder, No seed drill",Harvester,"Custom hiring, Machine handling"
Khurda,1329,"Paddy, Maize","Tractor, Sprayer",None,"No seed drill, No weeder, No paddy planter","Weeder, Paddy transplanter",Nursery setup
